Info 0    [13:35:23.337] Starting TS Server
Info 1    [13:35:23.338] Version: 3.8.3
Info 2    [13:35:23.338] Arguments: /usr/bin/node /home/puggi/.npm-global/bin/tsserver --logFile /home/puggi/Nextcloud/Workspace/Designing_interactions/snowballing/.log/tsserver.log --logVerbosity info --cancellationPipeName /tmp/557a6f857eacc1c48f0e450b10adf00d/tscancellation*
Info 3    [13:35:23.338] Platform: linux NodeVersion: 13 CaseSensitive: true
Info 4    [13:35:23.352] Search path: /home/puggi/Nextcloud/Workspace/Designing_interactions/snowballing/js
Info 5    [13:35:23.353] For info: /home/puggi/Nextcloud/Workspace/Designing_interactions/snowballing/js/my-location.js :: No config files found.
Info 6    [13:35:23.357] Starting updateGraphWorker: Project: /dev/null/inferredProject1*
Info 7    [13:35:24.510] Finishing updateGraphWorker: Project: /dev/null/inferredProject1* Version: 1 structureChanged: true Elapsed: 1153ms
Info 8    [13:35:24.510] Project '/dev/null/inferredProject1*' (Inferred) 
Info 9    [13:35:24.510] 	Files (6)

Info 10   [13:35:24.510] -----------------------------------------------
Info 11   [13:35:25.372] Starting updateGraphWorker: Project: /dev/null/inferredProject1*
Info 12   [13:35:25.376] Finishing updateGraphWorker: Project: /dev/null/inferredProject1* Version: 2 structureChanged: false Elapsed: 3ms
Info 13   [13:35:25.376] Different program with same set of files:: oldProgram.structureIsReused:: 2
Info 14   [13:35:25.378] Structure before ensureProjectForOpenFiles:
Info 15   [13:35:25.378] Structure after ensureProjectForOpenFiles:
Info 16   [13:35:25.378] got projects updated in background, updating diagnostics for /home/puggi/Nextcloud/Workspace/Designing_interactions/snowballing/js/my-location.js
Info 17   [13:37:51.464] Search path: /home/puggi/Nextcloud/Workspace/Designing_interactions/snowballing/lib/stamen
Info 18   [13:37:51.465] For info: /home/puggi/Nextcloud/Workspace/Designing_interactions/snowballing/lib/stamen/tile.stamen.js :: No config files found.
Info 19   [13:37:51.466] Starting updateGraphWorker: Project: /dev/null/inferredProject2*
Info 20   [13:37:51.510] Finishing updateGraphWorker: Project: /dev/null/inferredProject2* Version: 1 structureChanged: true Elapsed: 44ms
Info 21   [13:37:51.510] Project '/dev/null/inferredProject2*' (Inferred) 
Info 22   [13:37:51.510] 	Files (6)

Info 23   [13:37:51.510] -----------------------------------------------
Info 24   [13:37:51.664] Starting updateGraphWorker: Project: /dev/null/inferredProject2*
Info 25   [13:37:51.670] Finishing updateGraphWorker: Project: /dev/null/inferredProject2* Version: 2 structureChanged: false Elapsed: 6ms
Info 26   [13:37:51.670] Different program with same set of files:: oldProgram.structureIsReused:: 2
Info 27   [13:37:51.865] Structure before ensureProjectForOpenFiles:
Info 28   [13:37:51.865] Structure after ensureProjectForOpenFiles:
Info 29   [13:37:51.865] got projects updated in background, updating diagnostics for /home/puggi/Nextcloud/Workspace/Designing_interactions/snowballing/js/my-location.js,/home/puggi/Nextcloud/Workspace/Designing_interactions/snowballing/lib/stamen/tile.stamen.js
Info 30   [14:3:37.440] Search path: /home/puggi/Nextcloud/Workspace/Designing_interactions/snowballing/js
Info 31   [14:3:37.440] For info: /home/puggi/Nextcloud/Workspace/Designing_interactions/snowballing/js/non-earth.js :: No config files found.
Info 32   [14:3:37.441] Starting updateGraphWorker: Project: /dev/null/inferredProject3*
Info 33   [14:3:37.455] Finishing updateGraphWorker: Project: /dev/null/inferredProject3* Version: 1 structureChanged: true Elapsed: 14ms
Info 34   [14:3:37.455] Project '/dev/null/inferredProject3*' (Inferred) 
Info 35   [14:3:37.455] 	Files (6)

Info 36   [14:3:37.455] -----------------------------------------------
